Product,Sub-product,State,Rev_Million
Prepaid card,Government benefit payment card,FL,64
Mortgage,Reverse mortgage,,24
Prepaid card,General purpose card,MA,73
Prepaid card,ID prepaid card,MI,80
Consumer Loan,Installment loan,AL,68
Credit card,,WY,80
Mortgage,Home equity loan or line of credit,NM,38
Consumer Loan,Installment loan,CT,85
Consumer Loan,Installment loan,AZ,73
Mortgage,Reverse mortgage,WI,28
Prepaid card,ID prepaid card,CO,82
Other financial service,Check cashing,FL,37
Money transfers,Domestic (US) money transfer,NE,15
Prepaid card,Other special purpose card,IL,83
Mortgage,VA mortgage,,35
Mortgage,Conventional adjustable mortgage (ARM),ND,15
Other financial service,Foreign currency exchange,OH,39
Mortgage,Home equity loan or line of credit,KY,45
Bank account or service,(CD) Certificate of deposit,HI,41
Consumer Loan,Pawn loan,CO,84
Other financial service,Check cashing,AL,39
Other financial service,Credit repair,TX,10
Prepaid card,ID prepaid card,MA,71
Consumer Loan,Title loan,WI,59
Bank account or service,Cashing a check without an account,MA,32
Other financial service,Check cashing,,38
Debt collection,Mortgage,MS,24
Prepaid card,General purpose card,TN,52
Prepaid card,General purpose card,FL,58
Bank account or service,Other bank product/service,NE,29
Other financial service,Debt settlement,NY,14
Prepaid card,General purpose card,NJ,55
Consumer Loan,Personal line of credit,OK,67
Debt collection,Mortgage,VT,33
Prepaid card,Government benefit payment card,NJ,67
Consumer Loan,Title loan,IL,75
Consumer Loan,Installment loan,ID,76
Money transfers,International money transfer,PR,31
Other financial service,Check cashing,NY,14
Consumer Loan,Vehicle loan,ID,66
Prepaid card,Other special purpose card,MA,74
Prepaid card,Government benefit payment card,KY,70
Bank account or service,(CD) Certificate of deposit,CT,20
Consumer Loan,Vehicle lease,AL,59
Consumer Loan,Installment loan,RI,54
Mortgage,Reverse mortgage,NV,25
Consumer Loan,Pawn loan,NC,72
Bank account or service,Savings account,NV,24
Other financial service,Credit repair,IN,13
Money transfers,International money transfer,IN,42
Other financial service,Credit repair,MA,40
Prepaid card,Other special purpose card,CO,60
Prepaid card,General purpose card,OK,58
Prepaid card,Government benefit payment card,IL,71
Mortgage,Conventional fixed mortgage,FM,15
Prepaid card,Government benefit payment card,IA,52
Mortgage,Conventional fixed mortgage,AP,26
Prepaid card,Mobile wallet,OH,63
Debt collection,Auto,WV,36
Mortgage,Other mortgage,MP,40
Debt collection,Federal student loan,DE,19
Other financial service,Check cashing,MS,33
Consumer Loan,Vehicle lease,TN,67
Student loan,Non-federal student loan,RI,41
Debt collection,Auto,NH,32
Mortgage,Reverse mortgage,KY,30
Prepaid card,Government benefit payment card,OH,61
Other financial service,Foreign currency exchange,CA,43
Consumer Loan,Installment loan,,65
Bank account or service,Cashing a check without an account,PR,21
Bank account or service,Cashing a check without an account,,44
Mortgage,Reverse mortgage,MI,14
Bank account or service,Other bank product/service,NM,36
Prepaid card,General purpose card,NV,58
Consumer Loan,Vehicle lease,UT,63
Prepaid card,General purpose card,MI,65
Consumer Loan,Pawn loan,FL,84
Bank account or service,Other bank product/service,WV,25
Prepaid card,Gift or merchant card,TX,74
Debt collection,Medical,SD,27
Consumer Loan,Title loan,AZ,75
Consumer Loan,Installment loan,WY,74
Prepaid card,Electronic Benefit Transfer / EBT card,FL,52
Consumer Loan,Title loan,CO,59
Consumer Loan,Vehicle lease,WI,52
Consumer Loan,Title loan,TN,57
Prepaid card,General purpose card,PA,77
Consumer Loan,Title loan,PA,55
Consumer Loan,Title loan,CA,77
Money transfers,Domestic (US) money transfer,MS,42
Prepaid card,General purpose card,TX,65
Consumer Loan,Personal line of credit,SC,66
Prepaid card,Government benefit payment card,CA,78
Other financial service,Debt settlement,IA,44
Consumer Loan,Pawn loan,PR,84
Prepaid card,ID prepaid card,TX,53
Prepaid card,Mobile wallet,AR,53
Prepaid card,General purpose card,OR,58
Consumer Loan,Title loan,MD,82
Payday loan,Payday loan,IN,20
Prepaid card,Other special purpose card,OR,73
Prepaid card,ID prepaid card,GA,74
Prepaid card,Mobile wallet,NY,57
Consumer Loan,Vehicle lease,LA,55
Debt collection,Federal student loan,WV,27
Prepaid card,Government benefit payment card,GA,54
Prepaid card,Other special purpose card,FL,83
Prepaid card,General purpose card,GA,78
Consumer Loan,Pawn loan,CA,77
Consumer Loan,Personal line of credit,MO,81
Bank account or service,Other bank product/service,VI,38
Prepaid card,Government benefit payment card,TX,77
Consumer Loan,Vehicle loan,PR,82
Prepaid card,Gift or merchant card,CO,64
Prepaid card,ID prepaid card,OH,51
Consumer Loan,Title loan,MA,71
Mortgage,VA mortgage,ND,29
Other financial service,Check cashing,WA,23
Mortgage,Reverse mortgage,DE,10
Debt collection,Payday loan,NE,40
Money transfers,International money transfer,IA,36
Bank account or service,(CD) Certificate of deposit,WV,19
Money transfers,International money transfer,NE,40
Prepaid card,Government benefit payment card,NY,72
Prepaid card,Other special purpose card,AE,71
Credit card,,AE,69
Bank account or service,Checking account,WY,43
Prepaid card,Gift or merchant card,NY,80
Mortgage,VA mortgage,VT,23
Debt collection,Auto,KS,37
Prepaid card,ID prepaid card,NV,50
Prepaid card,General purpose card,IL,82
Prepaid card,General purpose card,MO,56
Consumer Loan,Title loan,SC,73
Prepaid card,ID prepaid card,PA,74
Other financial service,Check cashing,VA,43
Money transfers,International money transfer,AR,20
Other financial service,Money order,NY,21
Prepaid card,General purpose card,OH,80
Prepaid card,Mobile wallet,OR,84
Payday loan,Payday loan,HI,13
Money transfers,Domestic (US) money transfer,LA,34
Prepaid card,Transit card,AL,72
Bank account or service,(CD) Certificate of deposit,DC,11
Prepaid card,General purpose card,AZ,59
Mortgage,Reverse mortgage,ID,29
Consumer Loan,Pawn loan,VA,77
Consumer Loan,Vehicle loan,NE,85
Consumer Loan,Title loan,VA,72
Payday loan,Payday loan,ME,37
Consumer Loan,Pawn loan,PA,81
Consumer Loan,Installment loan,MT,68
Consumer Loan,Installment loan,ND,68
Consumer Loan,Title loan,AL,67
Prepaid card,General purpose card,WI,74
Consumer Loan,Personal line of credit,DE,56
Prepaid card,Mobile wallet,MN,81
Prepaid card,General purpose card,WA,65
Other financial service,Debt settlement,WA,38
Consumer Loan,Pawn loan,NY,75
Mortgage,FHA mortgage,WY,10
Money transfers,International money transfer,AL,17
Consumer Loan,Vehicle lease,NM,50
Bank account or service,Savings account,IN,22
Other financial service,Foreign currency exchange,WA,22
Other financial service,Check cashing,IL,29
Mortgage,Home equity loan or line of credit,VI,36
Payday loan,Payday loan,PR,35
Prepaid card,ID prepaid card,VA,83
Other financial service,Money order,IL,40
Consumer Loan,Vehicle lease,OR,68
Debt collection,Auto,PR,23
Prepaid card,Gift or merchant card,WA,70
Debt collection,Auto,AE,37
Other financial service,Check cashing,MO,12
Money transfers,International money transfer,MT,38
Other financial service,Check cashing,OH,15
Consumer Loan,Pawn loan,NJ,50
Other financial service,Check cashing,GA,14
Other financial service,Debt settlement,DC,43
Bank account or service,Cashing a check without an account,NV,43
Consumer Loan,Personal line of credit,NE,60
Prepaid card,Mobile wallet,WA,73
Prepaid card,General purpose card,SD,61
Debt collection,Auto,NE,37
Prepaid card,ID prepaid card,CA,73
Other financial service,Money order,UT,28
Prepaid card,Mobile wallet,PA,85
Prepaid card,Gift or merchant card,MD,76
Other financial service,Foreign currency exchange,WI,28
Bank account or service,(CD) Certificate of deposit,ME,31
Prepaid card,Government benefit payment card,CT,65
Prepaid card,Payroll card,CA,74
Mortgage,Conventional fixed mortgage,VI,23
Mortgage,Reverse mortgage,UT,33
Prepaid card,Mobile wallet,,73
Student loan,Non-federal student loan,VI,29
Prepaid card,Other special purpose card,TN,67
Consumer Loan,Title loan,UT,61
Consumer Loan,Vehicle loan,VI,62
Debt collection,Mortgage,NE,10
Prepaid card,Mobile wallet,TN,57
Consumer Loan,Vehicle lease,MO,59
Consumer Loan,Personal line of credit,MI,54
Other financial service,Credit repair,NC,25
Prepaid card,Transit card,PA,50
Other financial service,Refund anticipation check,CO,10
Consumer Loan,Vehicle lease,PR,79
Prepaid card,Government benefit payment card,MO,59
Bank account or service,Cashing a check without an account,AZ,42
Mortgage,Reverse mortgage,IN,12
Bank account or service,Cashing a check without an account,CO,22
Prepaid card,Mobile wallet,FL,58
Prepaid card,Other special purpose card,OH,57
Debt collection,Federal student loan,NH,42
Prepaid card,Mobile wallet,MI,68
Other financial service,Check cashing,SC,13
Prepaid card,General purpose card,MD,59
Prepaid card,Other special purpose card,TX,69
Other financial service,Money order,GA,36
Consumer Loan,Vehicle lease,MS,80
Bank account or service,Cashing a check without an account,GA,23
Mortgage,Reverse mortgage,RI,33
Prepaid card,Government benefit payment card,OR,55
Bank account or service,Cashing a check without an account,KY,40
Other financial service,Money order,OR,40
Mortgage,Home equity loan or line of credit,MS,19
Prepaid card,Payroll card,,68
Debt collection,Mortgage,WV,33
Prepaid card,Gift or merchant card,NC,53
Bank account or service,Other bank product/service,AE,26
Mortgage,Reverse mortgage,NH,39
Money transfers,Domestic (US) money transfer,KY,38
Prepaid card,General purpose card,KS,77
Other financial service,Check cashing,AZ,24
Prepaid card,Gift or merchant card,KY,68
Prepaid card,Other special purpose card,WA,61
Consumer Loan,Installment loan,AK,56
Prepaid card,Mobile wallet,CO,70
Mortgage,Home equity loan or line of credit,ID,18
Consumer Loan,Vehicle lease,NV,58
Prepaid card,General purpose card,MN,54
Prepaid card,Payroll card,NV,78
Consumer Loan,Title loan,MO,85
Bank account or service,Other bank product/service,PR,44
Prepaid card,Mobile wallet,NV,61
Money transfers,Domestic (US) money transfer,CO,35
Other financial service,Debt settlement,PA,20
Consumer Loan,Vehicle loan,WY,78
Debt collection,I do not know,FM,45
Money transfers,International money transfer,SC,10
Prepaid card,Other special purpose card,SC,71
Debt collection,Payday loan,WY,16
Other financial service,Foreign currency exchange,,20
Other financial service,Credit repair,FL,24
Consumer Loan,Personal line of credit,CO,67
Consumer Loan,Vehicle loan,AE,62
Prepaid card,General purpose card,ID,74
Bank account or service,Cashing a check without an account,LA,43
Prepaid card,General purpose card,AK,57
Mortgage,VA mortgage,WY,17
Other financial service,Money order,OH,11
Prepaid card,Government benefit payment card,WV,60
Other financial service,Debt settlement,MN,34
Other financial service,Money order,MS,41
Debt collection,Non-federal student loan,NH,33
Consumer Loan,Personal line of credit,MS,77
Other financial service,Check cashing,DC,23
Other financial service,Debt settlement,IL,14
Bank account or service,(CD) Certificate of deposit,ND,42
Prepaid card,Mobile wallet,GA,78
Prepaid card,General purpose card,CO,50
Consumer Loan,Vehicle loan,ND,80
Other financial service,Check cashing,KS,17
Student loan,Non-federal student loan,AE,13
Prepaid card,Gift or merchant card,MA,74
Prepaid card,Mobile wallet,NC,54
Prepaid card,Transit card,MO,73
Prepaid card,Transit card,LA,50
Prepaid card,Gift or merchant card,AZ,67
Bank account or service,Savings account,DC,35
Money transfers,International money transfer,WV,30
Mortgage,Conventional adjustable mortgage (ARM),SD,22
Consumer Loan,Pawn loan,IL,65
Debt collection,Non-federal student loan,WY,18
Money transfers,International money transfer,SD,36
Debt collection,Auto,HI,28
Other financial service,Check cashing,NC,31
Prepaid card,General purpose card,MT,51
Other financial service,Debt settlement,MA,45
Consumer Loan,Title loan,WA,64
Mortgage,VA mortgage,SD,10
Other financial service,Money order,CA,31
Money transfers,International money transfer,KY,18
Consumer Loan,Pawn loan,AZ,69
Debt collection,Non-federal student loan,HI,39
Money transfers,Domestic (US) money transfer,IN,13
Prepaid card,ID prepaid card,NY,70
Mortgage,Reverse mortgage,TN,17
Bank account or service,Cashing a check without an account,MD,28
Mortgage,VA mortgage,DC,40
Debt collection,Medical,VT,37
Other financial service,Credit repair,MD,21
Student loan,Non-federal student loan,PR,31
Bank account or service,Cashing a check without an account,TX,44
Consumer Loan,Installment loan,AE,56
Mortgage,VA mortgage,DE,34
Prepaid card,Other special purpose card,MI,58
Debt collection,Non-federal student loan,NE,37
Prepaid card,Gift or merchant card,IL,75
Other financial service,Credit repair,ME,33
Consumer Loan,Title loan,,81
Mortgage,Reverse mortgage,MN,18
Prepaid card,General purpose card,LA,50
Consumer Loan,Installment loan,GU,77
Mortgage,Home equity loan or line of credit,ND,23
Consumer Loan,Installment loan,PR,71
Prepaid card,General purpose card,SC,54
Prepaid card,Government benefit payment card,MN,61
Prepaid card,Other special purpose card,PA,69
Bank account or service,Cashing a check without an account,TN,44
Prepaid card,General purpose card,AL,62
Prepaid card,Payroll card,IL,66
Other financial service,Check cashing,MA,39
Prepaid card,Gift or merchant card,CT,62
Prepaid card,Payroll card,SC,79
Mortgage,Reverse mortgage,PR,27
Prepaid card,Payroll card,MI,68
Prepaid card,Payroll card,OH,64
Consumer Loan,Title loan,ID,52
Prepaid card,Government benefit payment card,LA,60
Prepaid card,Gift or merchant card,DC,61
Prepaid card,General purpose card,IN,70
Prepaid card,Payroll card,OK,83
Prepaid card,Payroll card,TX,63
Prepaid card,General purpose card,DE,63
Prepaid card,Payroll card,GA,53
Other financial service,Money order,NC,13
Money transfers,Domestic (US) money transfer,SD,43
Prepaid card,Payroll card,FL,68
Mortgage,Reverse mortgage,NE,30
Prepaid card,Mobile wallet,WI,74
Prepaid card,ID prepaid card,NJ,54
Prepaid card,Transit card,GA,64
Other financial service,Check cashing,MI,23
Prepaid card,Government benefit payment card,NC,63
Prepaid card,ID prepaid card,IL,63
Prepaid card,General purpose card,,78
Prepaid card,Payroll card,NJ,70
Prepaid card,Transit card,NY,71
Prepaid card,Payroll card,MN,65
Prepaid card,Payroll card,TN,85
Prepaid card,Transit card,IA,72
Prepaid card,Payroll card,NY,77
Prepaid card,General purpose card,KY,71
Prepaid card,Mobile wallet,CT,77
Prepaid card,Payroll card,VA,74
Prepaid card,General purpose card,NE,72
Prepaid card,Other special purpose card,CT,67
Prepaid card,Other special purpose card,AL,62
Prepaid card,Payroll card,CT,82
Prepaid card,ID prepaid card,KS,76
Prepaid card,Payroll card,HI,69
Prepaid card,Payroll card,MS,63
Prepaid card,Payroll card,MO,76
Consumer Loan,Pawn loan,TN,78
Prepaid card,ID prepaid card,CT,62
Prepaid card,Payroll card,NH,82
Prepaid card,ID prepaid card,SC,63
Prepaid card,Payroll card,AR,79
Prepaid card,Payroll card,LA,56
Bank account or service,Cashing a check without an account,AL,21
Prepaid card,Payroll card,AL,55
Consumer Loan,Title loan,NJ,59
Prepaid card,ID prepaid card,NC,70
Prepaid card,Government benefit payment card,AR,81
Prepaid card,ID prepaid card,MD,77
Prepaid card,Transit card,NJ,56
Money transfers,International money transfer,KS,12
Consumer Loan,Vehicle loan,FM,64
Payday loan,Payday loan,AK,41
Prepaid card,Payroll card,AZ,67
Other financial service,Debt settlement,NJ,37
Other financial service,Debt settlement,,11
Mortgage,FHA mortgage,VI,23
Prepaid card,Mobile wallet,MO,57
Other financial service,Check cashing,WI,38
Money transfers,Domestic (US) money transfer,AR,30
Prepaid card,Payroll card,PA,68
Mortgage,FHA mortgage,AP,26
Prepaid card,Payroll card,MD,79
Prepaid card,Government benefit payment card,PA,52
Money transfers,Domestic (US) money transfer,UT,14
Prepaid card,Gift or merchant card,NM,60
Prepaid card,Mobile wallet,PR,74
Debt collection,"Other (i.e. phone, health club, etc.)",AS,30
Mortgage,Reverse mortgage,HI,28
Bank account or service,Savings account,MH,45
Prepaid card,Gift or merchant card,WI,58
Consumer Loan,Vehicle lease,WY,72
Prepaid card,Gift or merchant card,AL,71
Prepaid card,ID prepaid card,IN,54
Other financial service,Debt settlement,NE,17
Other financial service,Debt settlement,LA,16
Prepaid card,Government benefit payment card,DE,79
Bank account or service,Cashing a check without an account,OH,33
Mortgage,FHA mortgage,SD,28
Consumer Loan,Vehicle lease,OK,71
Debt collection,I do not know,AP,43
Other financial service,Debt settlement,MI,34
Prepaid card,ID prepaid card,MO,83
Credit card,,FM,81
Consumer Loan,Title loan,DE,78
Prepaid card,Other special purpose card,RI,62
Other financial service,Debt settlement,MO,30
Prepaid card,Electronic Benefit Transfer / EBT card,TN,65
Other financial service,Check cashing,CO,11
Prepaid card,General purpose card,AR,61
Other financial service,Debt settlement,NH,11
Prepaid card,Gift or merchant card,TN,74
Bank account or service,(CD) Certificate of deposit,VT,30
Money transfers,Domestic (US) money transfer,VI,20
Prepaid card,Mobile wallet,NH,74
Prepaid card,Other special purpose card,UT,67
Other financial service,Foreign currency exchange,PA,18
Other financial service,Debt settlement,MD,41
Bank account or service,Cashing a check without an account,MO,14
Bank account or service,Other bank product/service,ID,25
Other financial service,Refund anticipation check,VA,11
Prepaid card,Mobile wallet,UT,51
Prepaid card,Payroll card,KS,68
Consumer Loan,Personal line of credit,VI,51
Consumer Loan,Title loan,NY,74
Consumer Loan,Title loan,IN,79
Other financial service,Refund anticipation check,RI,10
Prepaid card,Other special purpose card,NY,67
Credit card,,GU,70
Prepaid card,Mobile wallet,MD,84
Debt collection,Federal student loan,SD,24
Other financial service,Refund anticipation check,PA,11
Prepaid card,ID prepaid card,NH,65
Other financial service,Money order,MD,35
Prepaid card,Gift or merchant card,PA,50
Other financial service,Money order,MI,30
Bank account or service,Savings account,AR,10
Other financial service,Foreign currency exchange,KS,11
Prepaid card,Gift or merchant card,MN,52
Other financial service,Debt settlement,FL,35
Prepaid card,Other special purpose card,LA,76
Bank account or service,Other bank product/service,MH,25
Mortgage,Reverse mortgage,ME,31
Money transfers,International money transfer,CT,22
Prepaid card,Other special purpose card,VA,76
Prepaid card,Gift or merchant card,NJ,51
Mortgage,VA mortgage,HI,43
Mortgage,VA mortgage,AP,41
Bank account or service,Savings account,AK,11
Bank account or service,Cashing a check without an account,NH,29
Consumer Loan,Personal line of credit,KS,77
Mortgage,Reverse mortgage,AR,45
Bank account or service,Cashing a check without an account,IN,37
Mortgage,Second mortgage,MA,40
Mortgage,Conventional adjustable mortgage (ARM),PR,39
Mortgage,VA mortgage,RI,28
Other financial service,Debt settlement,CO,44
Bank account or service,Other bank product/service,ND,16
Bank account or service,Savings account,OK,44
Money transfers,Domestic (US) money transfer,RI,31
Mortgage,Second mortgage,NJ,39
Mortgage,Conventional fixed mortgage,PW,11
Consumer Loan,Personal line of credit,AE,58
Consumer Loan,Personal line of credit,VT,64
Mortgage,Second mortgage,IN,31
Consumer Loan,Vehicle loan,AK,82
Bank account or service,Cashing a check without an account,IL,44
Mortgage,Second mortgage,CT,14
Consumer Loan,Personal line of credit,UT,80
Mortgage,Second mortgage,NM,35
Mortgage,FHA mortgage,AS,22
Mortgage,Second mortgage,VT,31
Bank account or service,Cashing a check without an account,OK,34
Mortgage,Second mortgage,HI,18
Mortgage,Second mortgage,,21
Bank account or service,Cashing a check without an account,RI,32
Mortgage,Home equity loan or line of credit,NE,43
Mortgage,Second mortgage,MN,11
Mortgage,Second mortgage,OR,31
Mortgage,Second mortgage,UT,18
Mortgage,Conventional adjustable mortgage (ARM),MH,41
Mortgage,FHA mortgage,GU,44
Mortgage,Second mortgage,DC,32
Mortgage,Second mortgage,SC,24
Bank account or service,Other bank product/service,AP,24
Mortgage,Second mortgage,KY,39
Consumer Loan,Personal line of credit,ID,83
Consumer Loan,Vehicle lease,DE,53
Credit reporting,,AS,33
Consumer Loan,Personal line of credit,HI,69
Bank account or service,(CD) Certificate of deposit,AK,26
Mortgage,VA mortgage,ID,45
Mortgage,Reverse mortgage,MS,36
Mortgage,Second mortgage,IA,14
Bank account or service,Cashing a check without an account,NM,21
Mortgage,Second mortgage,NV,34
Mortgage,Reverse mortgage,MT,44
Bank account or service,Savings account,NE,43
Consumer Loan,Vehicle lease,VT,66
Bank account or service,(CD) Certificate of deposit,GU,41
Consumer Loan,Vehicle lease,AP,71
Consumer Loan,Vehicle lease,AR,60
Mortgage,Other mortgage,AA,22
Bank account or service,Cashing a check without an account,NE,33
Credit card,,MH,74
Mortgage,Second mortgage,WI,42
Mortgage,Other mortgage,FM,22
Mortgage,Second mortgage,TN,23
Money transfers,International money transfer,AK,12
Debt collection,I do not know,VI,12
Debt collection,Federal student loan,MT,24
Mortgage,Second mortgage,DE,16
Student loan,Non-federal student loan,AP,10
Consumer Loan,Personal line of credit,WV,63
Bank account or service,Cashing a check without an account,KS,25
Money transfers,Domestic (US) money transfer,AK,23
Credit reporting,,MP,31
Payday loan,Payday loan,NH,16
Consumer Loan,Personal line of credit,NH,80
Consumer Loan,Personal line of credit,NV,85
Debt collection,I do not know,GU,12
Debt collection,Auto,WY,37
Consumer Loan,Personal line of credit,ND,67
Consumer Loan,Installment loan,WV,66
Consumer Loan,Personal line of credit,MT,59
Mortgage,Conventional adjustable mortgage (ARM),AP,14
Bank account or service,Cashing a check without an account,IA,20
Debt collection,Auto,ME,10
Mortgage,Home equity loan or line of credit,PR,35
Money transfers,Domestic (US) money transfer,ID,21
Debt collection,Mortgage,SD,41
Money transfers,International money transfer,ID,13
Money transfers,International money transfer,VT,26
Consumer Loan,Vehicle lease,,77
Mortgage,Conventional fixed mortgage,AA,25
Student loan,Non-federal student loan,AA,15
Mortgage,Second mortgage,AR,39
Debt collection,Credit card,MP,11
Payday loan,Payday loan,VT,43
Prepaid card,Government benefit payment card,MA,55
Bank account or service,Cashing a check without an account,ID,32
Prepaid card,Gift or merchant card,OH,80
Prepaid card,Mobile wallet,DC,82
Other financial service,Money order,TX,22
Debt collection,Payday loan,AK,28
Other financial service,Credit repair,TN,12
Bank account or service,Savings account,IA,13
Debt collection,Federal student loan,ND,41
Other financial service,Foreign currency exchange,SC,45
Consumer Loan,Pawn loan,TX,74
Prepaid card,Government benefit payment card,CO,51
Other financial service,Check cashing,MN,26
Debt collection,I do not know,MH,41
Consumer Loan,Pawn loan,MD,64
Mortgage,Home equity loan or line of credit,AP,42
Other financial service,Foreign currency exchange,FL,18
Consumer Loan,Vehicle lease,SD,80
Other financial service,Money order,FL,15
Prepaid card,Other special purpose card,MD,62
Prepaid card,Transit card,OR,74
Other financial service,Money order,FM,37
Prepaid card,Other special purpose card,MN,82
Prepaid card,Transit card,FL,70
Prepaid card,Other special purpose card,AZ,71
Consumer Loan,Title loan,NM,78
Bank account or service,Cashing a check without an account,OR,30
Mortgage,Home equity loan or line of credit,AK,30
Debt collection,Federal student loan,MS,23
Other financial service,Refund anticipation check,NY,10
Prepaid card,ID prepaid card,RI,65
Debt collection,Federal student loan,AK,12
Bank account or service,Checking account,AS,19
Consumer Loan,Pawn loan,SC,53
Prepaid card,Gift or merchant card,VT,77
Other financial service,Money order,TN,40
Consumer Loan,Title loan,LA,70
Prepaid card,General purpose card,HI,84
Debt collection,Credit card,GU,21
Other financial service,Foreign currency exchange,TN,39
Prepaid card,Other special purpose card,NJ,84
Consumer Loan,Title loan,MI,78
Prepaid card,Mobile wallet,IL,71
Prepaid card,General purpose card,ME,83
Bank account or service,Cashing a check without an account,DE,25
Prepaid card,Gift or merchant card,,57
Prepaid card,ID prepaid card,DE,85
Prepaid card,General purpose card,DC,51
Consumer Loan,Pawn loan,GA,76
Consumer Loan,Vehicle loan,AP,58
Consumer Loan,Vehicle lease,MT,67
Debt collection,Non-federal student loan,AP,21
Bank account or service,Savings account,AE,35
Other financial service,Credit repair,OH,32
Other financial service,Credit repair,IL,18
Prepaid card,Mobile wallet,MT,83
Other financial service,Refund anticipation check,,10
Debt collection,Non-federal student loan,DE,34
Money transfers,International money transfer,ME,29
Money transfers,International money transfer,AS,16
Mortgage,FHA mortgage,MH,38
Consumer Loan,Title loan,DC,59
Mortgage,Home equity loan or line of credit,WY,27
Other financial service,Debt settlement,NC,40
Other financial service,Debt settlement,OK,25
Bank account or service,Savings account,VT,37
Prepaid card,Government benefit payment card,WA,79
Debt collection,Federal student loan,VT,34
Prepaid card,Government benefit payment card,AZ,68
Debt collection,Non-federal student loan,MT,45
Consumer Loan,Vehicle lease,NE,82
Prepaid card,General purpose card,NH,56
Other financial service,Money order,,31
Other financial service,Debt settlement,NV,25
Other financial service,Debt settlement,WI,39
Prepaid card,Mobile wallet,MA,66
Mortgage,Conventional fixed mortgage,MP,16
Consumer Loan,Title loan,KS,70
Consumer Loan,Title loan,NV,56
Prepaid card,Gift or merchant card,NE,56
Bank account or service,Savings account,HI,41
Prepaid card,Gift or merchant card,MI,66
Debt collection,Mortgage,AE,32
Prepaid card,Mobile wallet,SC,82
Debt collection,Mortgage,AK,41
Other financial service,Check cashing,NV,13
Prepaid card,General purpose card,MS,60
Prepaid card,Gift or merchant card,NV,63
Prepaid card,Payroll card,WI,79
Other financial service,Check cashing,PR,43
Prepaid card,Government benefit payment card,IN,63
Debt collection,Medical,AE,11
Bank account or service,Cashing a check without an account,WA,28
Prepaid card,Government benefit payment card,WI,69
Other financial service,Money order,VA,18
Money transfers,International money transfer,ND,34
Other financial service,Credit repair,GA,31
Other financial service,Credit repair,WY,25
Prepaid card,ID prepaid card,LA,77
Other financial service,Debt settlement,SC,29
Other financial service,Credit repair,SC,30
Other financial service,Debt settlement,CT,13
Prepaid card,Transit card,CA,58
Mortgage,VA mortgage,MT,45
Mortgage,Reverse mortgage,WY,25
Other financial service,Check cashing,MD,41
Prepaid card,ID prepaid card,TN,53
Other financial service,Check cashing,TN,18
Prepaid card,Other special purpose card,,74
Prepaid card,General purpose card,RI,77
Consumer Loan,Pawn loan,LA,50
Prepaid card,Payroll card,CO,58
Prepaid card,ID prepaid card,KY,70
Prepaid card,ID prepaid card,WI,73
Prepaid card,Government benefit payment card,VA,75
Prepaid card,ID prepaid card,AZ,66
Prepaid card,Other special purpose card,MO,50
Prepaid card,ID prepaid card,IA,69
Prepaid card,Payroll card,IN,81
Mortgage,FHA mortgage,FM,22
Prepaid card,Other special purpose card,MS,73
Prepaid card,Government benefit payment card,AL,79
Other financial service,Money order,SC,44
Money transfers,Domestic (US) money transfer,AE,36
Consumer Loan,Title loan,OK,69
Prepaid card,Transit card,MI,71
Money transfers,Domestic (US) money transfer,ME,38
Prepaid card,Gift or merchant card,IN,79
Consumer Loan,Title loan,MN,85
Prepaid card,Gift or merchant card,MO,81
Consumer Loan,Pawn loan,WI,69
Bank account or service,(CD) Certificate of deposit,NM,13
Money transfers,International money transfer,VI,11
Prepaid card,Government benefit payment card,DC,55
Other financial service,Debt settlement,VA,34
Other financial service,Refund anticipation check,NH,26
Other financial service,Debt settlement,OH,44
Other financial service,Debt settlement,OR,18
Other financial service,Refund anticipation check,TN,28
Bank account or service,Checking account,AP,35
Prepaid card,Transit card,TX,69
Money transfers,Domestic (US) money transfer,PR,12
Debt collection,Credit card,FM,10
Prepaid card,Other special purpose card,OK,66
Consumer Loan,Vehicle lease,ME,54
Other financial service,Foreign currency exchange,NC,24
Other financial service,Credit repair,PA,11
Prepaid card,Payroll card,DE,74
Other financial service,Credit repair,KY,40
Other financial service,Money order,PA,26
Other financial service,Foreign currency exchange,VA,34
Mortgage,Reverse mortgage,SD,39
Consumer Loan,Vehicle lease,AK,72
Bank account or service,(CD) Certificate of deposit,AP,13
Mortgage,Other mortgage,MH,39
Mortgage,VA mortgage,GU,40
Bank account or service,Checking account,MP,29
Other financial service,Check cashing,RI,19
Mortgage,Second mortgage,ID,15
Mortgage,Second mortgage,OK,26
Bank account or service,(CD) Certificate of deposit,MT,15
Bank account or service,Cashing a check without an account,DC,45
Bank account or service,(CD) Certificate of deposit,ID,25
Bank account or service,Cashing a check without an account,UT,25
Credit card,,MP,76
Mortgage,Second mortgage,SD,15
Bank account or service,Savings account,AP,19
Mortgage,Second mortgage,RI,41
Bank account or service,Other bank product/service,AS,24
Credit reporting,,PW,34
Mortgage,VA mortgage,AA,36
Mortgage,Home equity loan or line of credit,GU,37
Bank account or service,Savings account,WY,16
Credit card,,AS,52
Bank account or service,Checking account,FM,23
Money transfers,Domestic (US) money transfer,WY,43
Money transfers,Domestic (US) money transfer,VT,31
Consumer Loan,Personal line of credit,WY,81
Bank account or service,Checking account,AA,19
Money transfers,Domestic (US) money transfer,GU,25
